site.code,region,land.use,aeshnidae,athericidae,atyidae,baetidae,belostomatidae,bithyniidae,caenidae,calamoceratidae,calopterygidae,ceratopogonidae,chironomidae,chlorocyphidae,coenagrionidae,culicidae,dixidae,dytiscidae,elmidae,empididae,gerridae,gomphidae,gyrinidae,heptageniidae,hirudinidae,hydrobiidae,hydrophilidae,hydropsychidae,lepidostomatidae,leptoceridae,leptophlebiidae,lestidae,libellulidae,lymnaeidae,naucoridae,nematoda,nepidae,notonectidae,oligochaeta,perlidae,philopotamidae,pisuliidae,planorbidae,pleidae,polycentropodidae,protoneuridae,psephenidae,psychodidae,pyralidae,scirtidae,simuliidae,snail.unid,sphaeriidae,syrphidae,tabanidae,tipulidae,tricorythidae,turbellaria,veliidae
Kab1,Kabarole,farm,2,0,0,0,0,0,70,0,0,0,97,0,7,0,0,3,1,0,0,11,0,0,2,0,0,0,69,173,4,0,7,0,0,0,0,0,4,0,0,15,0,0,0,3,0,0,0,0,0,1,0,0,4,3,0,0,0
Kab2,Kabarole,farm,0,0,0,0,0,0,8,0,0,0,58,0,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,2,0,44,0,0,0,0,0,0,0,0,33,0,0,0,3,0,0,0,0,0,17,0,0,0,9,1,0,0
Kab3,Kabarole,farm,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
Kab4,Kabarole,farm,0,0,0,0,0,0,22,0,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
Kab5,Kabarole,farm,0,0,0,0,0,0,58,4,0,0,7,0,9,0,0,1,0,0,0,0,2,0,1,0,5,0,0,0,0,0,36,0,0,0,0,0,4,0,0,0,73,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Kab6,Kabarole,farm,0,0,0,0,0,0,25,0,0,0,30,0,6,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0
Kab7,Kabarole,farm,0,0,0,0,0,0,38,0,0,0,5,0,4,0,0,4,0,0,0,0,0,0,1,0,4,0,2,0,0,0,19,3,0,0,2,0,3,0,0,0,41,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0
Kab8,Kabarole,farm,0,0,0,0,0,0,36,0,0,1,58,0,9,0,0,1,0,0,0,0,1,0,1,0,15,0,0,0,0,0,30,0,0,0,0,0,13,0,0,0,383,0,0,2,0,0,0,0,5,0,0,0,2,0,0,0,0
Kab9,Kabarole,farm,0,0,0,0,0,0,15,0,0,0,22,0,4,0,0,6,1,0,0,0,0,0,2,0,6,0,0,0,0,0,74,7,0,0,0,0,4,0,0,0,115,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Kab10,Kabarole,farm,0,0,0,0,0,0,48,0,0,0,108,0,0,17,0,1,0,0,0,0,0,0,4,0,24,0,0,0,0,0,30,0,0,0,0,1,6,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kab11,Kabarole,farm,0,0,0,2,0,0,0,0,0,0,28,0,0,2,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,52,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kab12,Kabarole,farm,0,0,0,0,0,0,181,1,0,0,29,0,1,0,0,0,3,0,0,8,10,0,7,0,0,0,0,0,0,0,23,4,0,0,0,0,1,0,0,0,25,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0
Kab13,Kabarole,farm,1,0,0,0,0,0,3,0,0,0,18,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,5,0,1,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Kab14,Kabarole,farm,0,0,0,0,0,0,216,0,0,0,936,0,15,0,0,0,0,2,0,0,0,0,9,0,3,0,0,0,0,0,9,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0
Kab16,Kabarole,farm,0,0,0,0,0,0,46,10,0,0,15,0,3,0,0,0,2,0,0,0,2,0,8,0,2,0,0,0,0,0,30,3,0,0,1,2,0,0,0,3,18,0,0,57,0,0,0,0,0,0,0,0,0,0,0,1,0
Kab17,Kabarole,farm,0,0,0,0,0,0,51,0,0,0,10,0,0,0,0,9,0,0,1,0,0,0,0,0,12,0,0,0,0,0,17,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Kab18,Kabarole,farm,0,0,0,0,0,0,2,0,0,0,11,0,1,0,0,1,1,0,0,7,0,0,0,1,0,65,12,11,0,0,3,10,4,4,0,0,3,0,0,2,5,0,3,2,0,0,1,7,0,5,0,0,0,8,0,3,0
Kab19,Kabarole,farm,0,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,10,0,0,6,0,0,0,0,0,23,31,3,0,0,2,0,1,0,0,0,0,0,4,3,0,0,3,0,0,1,0,2,0,0,0,1,0,13,0,6,0
Kam1,Kamwenge,farm,0,0,2,0,2,30,142,0,0,0,38,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
Kam2,Kamwenge,farm,7,0,0,0,0,0,66,0,0,0,18,0,0,0,0,6,0,0,0,0,0,0,1,0,5,0,0,0,5,0,11,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
